OSEBuildingID	%NaturalGas(kBtu)	%SteamUse(kBtu)	BuildingType	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SourceEUI(kBtu/sf)	SiteEnergyUse(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	tranche_date	BuildingAge	groups_neighborhood	groups_PrimaryPropertyType	GFABuildingRate
131	-5.199337582605575	-5.199337582605575	NonResidential	-5.199337582605575	0.5693210610934747	0.1846254402023737	-0.13858315006072774	1.4158507245312209	0.60087207452916	-0.08379412056866783	-0.08045957870373127	tranche_date1	75	North	Various	5.19933758270342
132	0.8188495604773447	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	1.1505178513001415	-0.13858315006072774	-0.7783736676694207	0.3248388389378071	0.6479820522378322	-0.19461880183929783	tranche_date1	87	North	Various	5.19933758270342
136	1.1227579361261144	-5.199337582605575	NonResidential	-5.199337582605575	0.5693210610934747	0.08802015940982542	1.0055558754164782	-0.07317712806734636	0.23282134597152793	0.6057842902725943	0.9479136178276172	tranche_date4	15	North	Various	5.19933758270342
138	1.327095371916492	-5.199337582605575	SPS-District K-12	-5.199337582605575	-5.199337582605575	1.2372470279420682	1.1638397054677854	-0.6240422507072533	1.0222167091823364	1.5047679010942265	0.6091342995185643	tranche_date2	57	North	Various	5.19933758270342
139	0.5326178657381514	-5.199337582605575	NonResidential	-5.199337582605575	0.23058751152675497	0.35463791111736465	0.6325093385485111	-0.426396779292761	0.15414625497651716	0.3808150263955682	0.32631499200479747	tranche_date4	14	North	Various	5.19933758270342
144	0.2043624451403745	-5.199337582605575	NonResidential	-5.199337582605575	0.8224485747698438	1.096351864138942	1.749756610606143	-0.6209269497493121	0.6163193540947687	0.6792864072306412	-0.103160396291179	tranche_date1	112	Various	Various	5.19933758270342
145	-0.402014137321037	1.8074953039179191	Nonresidential COS	-5.199337582605575	1.0481072891215324	1.3391778975631135	-0.13858315006072774	0.5619471759460618	1.169853184661182	1.4743687145111093	0.47995059298619697	tranche_date3	18	Various	Various	5.19933758270342
147	0.6571898178766773	-5.199337582605575	NonResidential	2.256359974203136	0.8224485747698438	1.344067280249555	-1.597203104737417	1.5415141264841776	2.6097696883469887	2.8815517835632973	1.9140991234275153	tranche_date2	62	Various	Health	5.19933758270342
163	0.057667452876139065	-5.199337582605575	Nonresidential COS	-5.199337582605575	0.5693210610934747	0.255306821947972	-0.13858315006072774	1.2528302315793578	0.8766149627364839	0.8167037083636655	1.044934944132165	tranche_date4	10	Various	Various	5.19933758270342
167	0.2682963446779682	-5.199337582605575	NonResidential	-5.199337582605575	0.5693210610934747	0.3881006543761956	-0.13858315006072774	-0.6240422507072533	-0.20488322590763536	-0.059183965304499604	-0.21256877768109023	tranche_date1	106	Various	Various	-0.9849486421130663
